priority,overall_score,site,domain,prospect_type,mix,relevant_page,contact_person,role,public_contact_route,country,language,authority_signal,relevance_score,asset_fit,likelihood,recommended_asset,recommended_asset_url,why_they_might_link,pitch_angle,example_subject,competitor_gap,do_not_send,risk,campaign
MEDIUM,72,Cadence — heel drop explained,run-cadence.com,COACH_RESOURCE,coach,https://www.run-cadence.com/blog/heel-drop-explained-how-shoe-drop-affects-your-running-form-and-performance,,coach,run-cadence.com/contact — no email stored.,US,en,58,90,80,56,Running Shoe Drop Explained,/guides/running-shoe-drop,"The guide tells athletes to check current drop, not to chase a number. Database is that check.",Drop guide + live catalog as the lookup the article currently leaves to the reader.,A current drop catalog beside your heel-drop explainer,,no,SAFE,campaign-database
MEDIUM,72,Strength Running Podcast,strengthrunning.com,PODCAST,podcast,https://strengthrunning.com/about/,Jason Fitzgerald,coach,strengthrunning.com/about — no email stored.,US,en,72,78,92,42,Running Shoe Finder,/tools/running-shoe-finder,Show notes for a shoe or injury episode can list Finder + How to Choose. Do not spray a generic podcast ask.,Use only with a named episode. Same owner as the Strength Running articles.,A shoe finder for a Strength Running episode on easy-day shoes,,no,SAFE,campaign-finder
MEDIUM,71,Triathlon24 — schoenen kiezen,triathlon24.nl,RETAILER_RESOURCE,retailer,https://www.triathlon24.nl/blog/7-handige-tips-om-de-juiste-hardloopschoenen-te-kiezen/,,unknown,triathlon24.nl contact — no email stored.,NL,nl,58,86,96,46,Running Shoe Database,/running/shoes/database,Defines the terms but does not offer a current model table.,Database as the live stack/drop lookup after the definitions.,Een actuele drop/stack-tabel bij jullie schoenen-tips,,no,REVIEW,campaign-database
MEDIUM,70,Runners Need marathon kit list,runnersneed.com,RETAILER_RESOURCE,retailer,https://www.runnersneed.com/expert-advice/gear-guides/marathon-kit-list.html,,unknown,runnersneed.com — no email stored.,GB,en,74,80,92,40,Running Shoe Finder,/tools/running-shoe-finder,Kit list says match shoes to gait and never race in new shoes; the finder is the online narrowing step.,Running Shoe Finder for first-time marathoners reading the kit list remotely.,A shoe finder for first-timers reading your marathon kit list,,no,REVIEW,campaign-finder
MEDIUM,70,Zappos drop explainer,zappos.com,RETAILER_RESOURCE,retailer,https://www.zappos.com/c/what-is-heel-to-toe-drop,,unknown,Zappos customer care — do not use for editorial. No email stored.,US,en,84,86,80,32,Running Shoe Drop Explained,/guides/running-shoe-drop,Explainer needs a current millimetre lookup; Kitletics drop guide + database is independent of Zappos SKUs.,"Drop guide + database as further reading, not a store link.",A current drop lookup for the Zappos heel-to-toe explainer,,no,REVIEW,campaign-database
MEDIUM,70,Runners Cove — how to choose,runnerscove.com,RESOURCE_PAGE,publication,https://runnerscove.com/running-tips/how-to-choose-running-shoes/,,site_owner,runnerscove.com contact — no email stored.,US,en,54,86,86,52,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,The how-to still needs a current catalog when examples age out.,How to Choose Running Shoes + database as the living companion.,A current choose-shoes companion for the Runners Cove guide,,no,SAFE,campaign-finder
MEDIUM,70,Run Kit UK — how to choose,runkituk.co.uk,RESOURCE_PAGE,publication,https://runkituk.co.uk/how-to-choose-the-right-running-shoes/,,site_owner,runkituk.co.uk contact — no email stored.,GB,en,50,84,92,54,Running Shoe Finder,/tools/running-shoe-finder,Beginner UK readers still arrive overwhelmed; Finder matches the article’s ‘you probably do not need a carbon plate’ message.,"Finder as the decision tool after the how-to, before the shop visit.",A shoe finder to pair with your how-to-choose page,,no,SAFE,campaign-finder
MEDIUM,69,Runners Need,runnersneed.com,RETAILER_RESOURCE,retailer,https://www.runnersneed.com/expert-advice/gear-guides/choosing-the-right-running-shoes.html,,unknown,runnersneed.com customer services — no email stored.,GB,en,74,82,86,36,How to Choose Running Shoes,/guides/how-to-choose-running-shoes,Further-reading on an education URL; Kitletics is independent of their gait-analysis SKU funnel.,How to Choose Running Shoes as an independent explainer.,An independent choose-shoes explainer for your expert-advice guide,,no,REVIEW,campaign-finder
MEDIUM,69,Believe in the Run — how reviews work,believeintherun.com,COMPETITOR_LINK_GAP,publication,https://believeintherun.com/how-our-reviews-work/,,editor,https://believeintherun.com/contact/ (form). No editorial email stored.,US,en,84,70,96,20,Running Shoe Database,/running/shoes/database,Unlikely to cite a peer catalog. Value is the sites that already link here — import Ahrefs CSV.,"Do not send a link ask. Import referring domains. If a methodology page wants a public spec table, the database is the offer.",Not a send — import BITR backlinks first,This domain is itself a competitor (Believe in the Run). Treat as gap-import source.,yes,SAFE,campaign-database
MEDIUM,68,ASICS NL advice — what is drop,asics.com,BRAND_PR,brand,https://www.asics.com/nl/nl-nl/asics-advice/what-is-heel-drop/,,pr_contact,ASICS press / advice pages — no email stored.,NL,nl,92,74,96,14,Running Shoe Database,/running/shoes/database,Only if brand journalism/PR wants an independent market snapshot. Not a send this month.,"Defer. Independent catalog is useful internally for PR, not as a footer link.","Not a send — brand education page, no cold link ask",,yes,REVIEW,campaign-market-2026
MEDIUM,67,Nike — how to pick running shoes,nike.com,BRAND_PR,brand,https://www.nike.com/a/how-to-pick-the-right-running-shoes,,pr_contact,Nike media — no email stored.,US,en,98,70,92,10,Running Shoe Finder,/tools/running-shoe-finder,They already cite a coach. Unlikely to add Kitletics. Do not cold-email Nike.com for a link.,"Do not send. Note the Fitzgerald quote as a relationship signal toward Strength Running, not Nike.",Not a send,Cites Strength Running / Jason Fitzgerald. The coach page is the real prospect.,yes,REVIEW,campaign-finder
MEDIUM,67,Boréal Running — how to choose,borealrunning.com,RETAILER_RESOURCE,retailer,https://borealrunning.com/en/blogs/running-shoe-buying-guide/how-to-choose-running-shoes,,unknown,borealrunning.com contact — no email stored.,CA,en,52,82,92,42,Running Shoe Finder,/tools/running-shoe-finder,Guide ends at the store; Finder helps remote Canadian readers shortlist daily trainers.,"Finder as a pre-visit tool. Independent, not a competing cart.",An independent shoe finder for the Boréal buying guide,,no,REVIEW,campaign-finder
MEDIUM,67,CorrerJuntos — drop explained,correrjuntos.com,DATA_CITATION,publication,https://www.correrjuntos.com/blog/en/running-shoe-drop-explained,,site_owner,correrjuntos.com contact — no email stored.,ES,en,52,84,80,48,Running Shoe Drop Explained,/guides/running-shoe-drop,Defines drop ranges but has no living catalog.,Drop guide + database as the lookup after the definitions.,A live drop catalog for the CorrerJuntos explainer,,no,SAFE,campaign-database
MEDIUM,66,Running for Beginners — first parkrun,running4beginners.co.uk,RUNNING_CLUB,club,https://running4beginners.co.uk/first-parkrun-what-to-expect/,,site_owner,running4beginners.co.uk contact — no email stored.,GB,en,48,76,92,50,Running Shoe Finder,/tools/running-shoe-finder,The page says specialist fitting matters; Finder is the remote first pass before a shop.,"Finder for first-timers who are not ready for a plated shoe. Usefulness, not a parkrun homepage dump.",A beginner shoe finder for the first-parkrun guide,,no,SAFE,campaign-finder
MEDIUM,63,Altra — zero-to-low drop explainer,altrarunning.com,BRAND_PR,brand,https://www.altrarunning.com/en-us/blogs/run-better-blog/gait-happens-zero-to-low-drop,,pr_contact,Altra press — no email stored.,US,en,86,72,80,12,Running Shoe Drop Explained,/guides/running-shoe-drop,Only if brand journalism wants an independent catalog of current zero/low-drop models. Not a send.,Defer. Do not cold-email Altra for a backlink.,Not a send — brand education page,,yes,REVIEW,campaign-database
